01:00:18,30,45,2,26
01:00:35,50,25,2,18
01:00:52,0,10,2,18
01:01:09,10,5,1,4
01:01:26,10,45,3,12
01:01:43,0,45,12,18
01:02:00,20,20,1,4
01:02:17,55,20,10,5
01:02:34,65,15,3,4
01:02:51,60,45,16,13
01:03:08,25,45,3,6
01:03:25,55,30,6,10
01:03:42,5,5,1,17
01:03:59,50,40,11,14
01:04:16,50,35,17,4
01:04:33,40,20,2,9
01:04:50,35,25,2,12
01:05:07,55,0,1,16
01:05:24,40,0,5,17
01:05:41,55,5,9,8
01:05:58,5,35,23,17
01:06:15,55,25,13,14
01:06:32,10,5,1,14
01:06:49,35,45,1,18
01:07:06,65,20,1,13
01:07:23,20,10,14,24
01:07:40,5,40,1,8
01:07:57,45,40,50,18
01:08:14,65,25,1,13
01:08:31,5,0,1,33
01:08:48,25,45,1,7
01:09:05,30,20,13,18
01:09:22,0,30,11,12
01:09:39,50,0,2,16
01:09:56,40,30,2,16
01:10:13,30,20,2,14
01:10:30,30,15,1,17
01:10:47,25,25,1,42
01:11:04,20,40,10,17
01:11:21,30,30,1,37
01:11:38,65,20,1,15
01:11:55,65,30,11,41
01:12:12,30,45,3,12
01:12:29,5,35,5,13
01:12:46,65,5,2,14
01:13:03,10,0,14,42
01:13:20,35,15,2,18
01:13:37,30,40,14,10
01:13:54,35,15,14,7
01:14:11,40,5,11,18
01:14:28,10,30,1,14
01:14:45,55,30,2,16
01:15:02,50,25,1,11
01:15:19,5,5,2,13
01:15:36,40,40,2,30
01:15:53,45,40,1,17
01:16:10,0,15,26,16
01:16:27,20,30,3,14
01:16:44,40,0,33,17
01:17:01,20,45,6,18
01:17:18,50,5,1,13
01:17:35,30,40,12,4
01:17:52,10,20,12,16
01:18:09,15,5,1,8
01:18:26,55,45,1,4
01:18:43,50,15,19,8
01:19:00,10,15,12,18
01:19:17,30,15,32,14
02:00:18,65,10,10,12
02:00:35,65,40,19,4
02:00:52,50,35,22,4
02:01:09,20,45,1,14
02:01:26,5,45,46,4
02:01:43,50,0,5,15
02:02:00,0,45,1,16
02:02:17,40,45,1,33
02:02:34,20,0,10,16
02:02:51,10,20,24,12
02:03:08,25,10,3,14
02:03:25,45,5,2,10
02:03:42,40,20,13,4
02:03:59,35,25,34,4
02:04:16,35,35,12,28
02:04:33,10,45,23,17
02:04:50,30,5,1,9
02:05:07,20,25,23,41
02:05:24,65,0,14,28
02:05:41,40,10,3,13
02:05:58,30,15,2,18
02:06:15,60,20,13,5
02:06:32,25,5,13,4
02:06:49,45,40,5,18
02:07:06,50,5,9,16
02:07:23,10,5,1,21
02:07:40,40,5,12,18
02:07:57,0,5,14,16
02:08:14,5,35,1,15
02:08:31,35,0,1,14
02:08:48,15,20,14,9
02:09:05,30,30,2,5
